ablation;best_epoch_mean;best_epoch_std;best_epoch_min;best_epoch_max;val_mean_f1_mean;val_mean_f1_std;test_mean_f1_mean;test_mean_f1_std;test_mean_iou_mean;test_mean_iou_std;test_mean_iou_all_mean;test_mean_iou_all_std;test_f1_VT_mean;test_f1_VT_std;test_iou_VT_mean;test_iou_VT_std;test_f1_LP_mean;test_f1_LP_std;test_iou_LP_mean;test_iou_LP_std;test_f1_TR_mean;test_f1_TR_std;test_iou_TR_mean;test_iou_TR_std;test_f1_AV_mean;test_f1_AV_std;test_iou_AV_mean;test_iou_AV_std;test_f1_IC_mean;test_f1_IC_std;test_iou_IC_mean;test_iou_IC_std
musseg_d4_r16_s222_k127_d1248;24,0;0,0;24,0;24,0;0,9142001147774461;0,0;0,9116718728074348;0,0;0,8400640188699231;0,0;0,7406508260293524;0,0;0,9545829892650702;0,0;0,9131121642969984;0,0;0,8796895213454077;0,0;0,7852193995381063;0,0;0,938090241343127;0,0;0,883399209486166;0,0;0,8509316770186336;0,0;0,7405405405405405;0,0;0,935064935064935;0,0;0,8780487804878049;0,0
musseg_d4_r16_s124_k127;37,0;0,0;37,0;37,0;0,9127537207562559;0,0;0,9111927929204964;0,0;0,8386217298837886;0,0;0,7283022702910524;0,0;0,9536961819658814;0,0;0,9114906832298136;0,0;0,88948069241012;0,0;0,8009592326139089;0,0;0,9401888772298007;0,0;0,8871287128712871;0,0;0,8606811145510836;0,0;0,7554347826086957;0,0;0,911917098445596;0,0;0,8380952380952381;0,0
musseg_d4_r16_s222_k127;28,4;13,032267646115928;14,0;45,0;0,9102749835902564;0,008948879359306853;0,9101827857673623;0,003101239201589281;0,8370024679838046;0,0052814053821441;0,7293208497057466;0,005271573555618943;0,9466466003711753;0,006698170916100733;0,8987746228920411;0,01204882218182272;0,8814765274100379;0,010449322488382921;0,7882288974224412;0,016843461798706386;0,9440556507461432;0,008826992535140526;0,8941716662676183;0,01584577990856415;0,8620758627517044;0,005384451376290531;0,757625766973308;0,0083174402411913;0,9166592875577507;0,006684777331751162;0,846211386363614;0,01136308833063126
unet;22,4;9,264987857520376;11,0;34,0;0,9089775937639175;0,003386103219878818;0,9067071196046959;0,004023424834102434;0,8313051758053824;0,006446922711392396;;;0,9415677165923177;0,007150758255759279;0,8896736244480918;0,012805543813479456;0,8758711860916287;0,00669654557589784;0,7792187004077678;0,010603645931862096;0,9433822077573997;0,007216971062739007;0,8929204506045247;0,012945729268879902;0,8584485069283488;0,014066909282415366;0,7522700008211216;0,021785669599557342;0,9142659806537841;0,015394819253380283;0,8424431027454068;0,026191297606401907
musseg_d4_r16_s222_k71;28,0;0,0;28,0;28,0;0,9262117247347265;0,0;0,9060086299728605;0,0;0,8305194917695781;0,0;0,7273195576171517;0,0;0,9410788381742737;0,0;0,8887147335423198;0,0;0,8828125;0,0;0,7902097902097902;0,0;0,9494736842105262;0,0;0,9038076152304609;0,0;0,8421052631578948;0,0;0,7272727272727273;0,0;0,914572864321608;0,0;0,8425925925925926;0,0
unet_attention;22,0;13,66747965061591;6,0;47,0;0,911887228411471;0,005085005302233786;0,9054744376440688;0,006705310238249311;0,8291732657305817;0,011083404830956179;;;0,9407393678753969;0,005177807455535449;0,8881544453643133;0,009206887482689444;0,873092305467323;0,0190372600328735;0,7752703671316683;0,029724548526081897;0,9401820678297332;0,007847648536203953;0,8872208871537903;0,014085790637578872;0,8595671084750549;0,0077335041711066276;0,7538009699725472;0,01193664051466672;0,9137913385728359;0,009874613890064422;0,841419659030589;0,016809337213046508
musseg_d4_r16_s222_k127_61_31_15;23,0;0,0;23,0;23,0;0,9158924661144354;0,0;0,9001973563812774;0,0;0,8207493427222465;0,0;0,7117293127337615;0,0;0,9380677126341866;0,0;0,8833592534992224;0,0;0,8546365914786967;0,0;0,7461706783369803;0,0;0,9375661375661376;0,0;0,8824701195219123;0,0;0,8523489932885905;0,0;0,7426900584795322;0,0;0,9183673469387755;0,0;0,8490566037735849;0,0
musseg_d4_r16_s222_k51;14,0;0,0;14,0;14,0;0,9143524529910634;0,0;0,899390672649465;0,0;0,819274537558986;0,0;0,7236524432469031;0,0;0,9398998330550918;0,0;0,8866141732283465;0,0;0,8543689320388349;0,0;0,7457627118644068;0,0;0,9239013933547696;0,0;0,8585657370517928;0,0;0,8533333333333334;0,0;0,7441860465116279;0,0;0,9254498714652956;0,0;0,861244019138756;0,0
musseg_d4_r16_s222_k31;17,0;0,0;17,0;17,0;0,9103431621968842;0,0;0,8987131214523032;0,0;0,8174447068916244;0,0;0,7104007050511966;0,0;0,9407894736842105;0,0;0,8881987577639752;0,0;0,8697986577181208;0,0;0,7695961995249406;0,0;0,9247083775185577;0,0;0,8599605522682445;0,0;0,8623853211009174;0,0;0,7580645161290323;0,0;0,8958837772397094;0,0;0,8114035087719298;0,0
musseg_d4_r16_s222_k91;32,0;0,0;32,0;32,0;0,9107659702111167;0,0;0,8982337083277588;0,0;0,8181745365946973;0,0;0,7239910171290843;0,0;0,9434276206322796;0,0;0,8929133858267716;0,0;0,8813559322033899;0,0;0,7878787878787878;0,0;0,9417989417989417;0,0;0,89;0,0;0,8228228228228228;0,0;0,6989795918367347;0,0;0,9017632241813602;0,0;0,8211009174311926;0,0
